Movie ID,Title,Contributor ID,Contributor Name,Role
11,Fight Club,97,Chuck Palahniuk,WRITER
11,Fight Club,98,Cean Chaffin,PRODUCER
11,Fight Club,99,Ross Grayson Bell,PRODUCER
11,Fight Club,100,Brad Pitt,ACTOR
11,Fight Club,101,Meat Loaf,ACTOR
11,Fight Club,102,David Fincher,DIRECTOR
11,Fight Club,103,Edward Norton,ACTOR
11,Fight Club,104,Zach Grenier,ACTOR
11,Fight Club,105,Jim Uhls,WRITER
12,First Cow,106,Jonathan Raymond,WRITER
12,First Cow,107,Neil Kopp,PRODUCER
12,First Cow,108,Kelly Reichardt,DIRECTOR
12,First Cow,109,Alia Shawkat,ACTOR
12,First Cow,110,John Magaro,ACTOR
12,First Cow,111,Dylan Smith,ACTOR
12,First Cow,112,Ryan Findley,ACTOR
12,First Cow,113,Anish Savjani,PRODUCER
12,First Cow,114,Vincent Savino,PRODUCER
12,First Cow,115,William Tyler,MUSICIAN
12,First Cow,108,Kelly Reichardt,WRITER
13,Drive my car,116,Hidetoshi Nishijima,ACTOR
13,Drive my car,117,Sachio Matsushita,PRODUCER
13,Drive my car,118,Toko Miura,ACTOR
13,Drive my car,119,Reika Kirishima,ACTOR
13,Drive my car,120,Yoo-rim Park,ACTOR
13,Drive my car,121,Ryusuke Hamaguchi,WRITER
13,Drive my car,122,Takamasa Oe,WRITER
13,Drive my car,123,Tsuyoshi Goro,PRODUCER
13,Drive my car,124,Haruki Murakami,WRITER
13,Drive my car,125,Osamu Kubota,PRODUCER
13,Drive my car,126,Eiko Ishibashi,MUSICIAN
13,Drive my car,127,Misaki Kawamura,PRODUCER
13,Drive my car,121,Ryusuke Hamaguchi,DIRECTOR
14,The Matrix,128,Bruce Berman,PRODUCER
14,The Matrix,129,Lana Wachowski,WRITER
14,The Matrix,130,Laurence Fishburne,ACTOR
14,The Matrix,131,Carrie-Anne Moss,ACTOR
14,The Matrix,132,Barrie M. Osborne,PRODUCER
14,The Matrix,133,Lilly Wachowski,WRITER
14,The Matrix,134,Andrew Mason,PRODUCER
14,The Matrix,133,Lilly Wachowski,DIRECTOR
14,The Matrix,135,Yahya Abdul-Mateen II,ACTOR
14,The Matrix,136,Don Davis,MUSICIAN
14,The Matrix,137,Joel Silver,PRODUCER
14,The Matrix,129,Lana Wachowski,DIRECTOR
14,The Matrix,138,Keanu Reeves,ACTOR
15,Parasite,139,Bong Joon Ho,DIRECTOR
15,Parasite,139,Bong Joon Ho,WRITER
15,Parasite,140,Jaeil Jung,MUSICIAN
15,Parasite,141,Kang-ho Song,ACTOR
15,Parasite,142,Sun-kyun Lee,ACTOR
15,Parasite,143,Woo-sik Choi,ACTOR
15,Parasite,144,Jin-won Han,WRITER
15,Parasite,139,Bong Joon Ho,PRODUCER
15,Parasite,145,Yeo-jeong Cho,ACTOR
15,Parasite,146,Moon Yang Kwon,PRODUCER
15,Parasite,147,Sin-ae Kwak,PRODUCER
16,The Worst Person in the World,148,Joachim Trier,DIRECTOR
16,The Worst Person in the World,149,Thomas Robsahm,PRODUCER
16,The Worst Person in the World,148,Joachim Trier,WRITER
16,The Worst Person in the World,150,Tom Kjeseth,PRODUCER
16,The Worst Person in the World,151,Eskil Vogt,WRITER
16,The Worst Person in the World,152,Andrea Berentsen Ottmar,PRODUCER
16,The Worst Person in the World,153,Dyveke Bjorkly Graver,PRODUCER
16,The Worst Person in the World,154,Mia McGovern Zaini,ACTOR
16,The Worst Person in the World,155,Renate Reinsve,ACTOR
16,The Worst Person in the World,156,Anders Danielsen Lie,ACTOR
16,The Worst Person in the World,157,Maria Grazia Di Meo,ACTOR
16,The Worst Person in the World,158,Ola Flottum,MUSICIAN
17,Love Actually,159,Duncan Kenworthy,PRODUCER
17,Love Actually,160,Hugh Grant,ACTOR
17,Love Actually,161,Richard Curtis,DIRECTOR
17,Love Actually,162,Eric Fellner,PRODUCER
17,Love Actually,161,Richard Curtis,WRITER
17,Love Actually,163,Colin Firth,ACTOR
17,Love Actually,164,Martine McCutcheon,ACTOR
17,Love Actually,165,Tim Bevan,PRODUCER
17,Love Actually,1,Liam Neeson,ACTOR
17,Love Actually,166,Craig Armstrong,MUSICIAN
18,Don't Look Up,167,Nicholas Britell,MUSICIAN
18,Don't Look Up,168,Meryl Streep,ACTOR
18,Don't Look Up,169,Cate Blanchett,ACTOR
18,Don't Look Up,170,Adam McKay,WRITER
18,Don't Look Up,171,Erin Charles,PRODUCER
18,Don't Look Up,172,Kevin J. Messick,PRODUCER
18,Don't Look Up,170,Adam McKay,PRODUCER
18,Don't Look Up,170,Adam McKay,DIRECTOR
18,Don't Look Up,173,Jennifer Lawrence,ACTOR
18,Don't Look Up,174,David Sirota,WRITER
18,Don't Look Up,175,Leonardo DiCaprio,ACTOR
19,Home Alone,176,Tarquin Gotch,PRODUCER
19,Home Alone,177,John Hughes,PRODUCER
19,Home Alone,178,Daniel Stern,ACTOR
19,Home Alone,177,John Hughes,WRITER
19,Home Alone,179,Mark Levinson,PRODUCER
19,Home Alone,2,John Williams,MUSICIAN
19,Home Alone,180,John Heard,ACTOR
19,Home Alone,181,Chris Columbus,DIRECTOR
19,Home Alone,182,Scott M. Rosenfelt,PRODUCER
19,Home Alone,183,Macaulay Culkin,ACTOR
19,Home Alone,184,Joe Pesci,ACTOR
20,The Lord of the Rings: The Fellowship of the Ring,185,Sala Baker,ACTOR
20,The Lord of the Rings: The Fellowship of the Ring,186,Tim Sanders,PRODUCER
20,The Lord of the Rings: The Fellowship of the Ring,187,Orlando Bloom,ACTOR
20,The Lord of the Rings: The Fellowship of the Ring,188,Howard Shore,MUSICIAN
