Contributor ID,Contributor Name,Production ID,Production Title,Role
1,Branko Lustig,1,Schindler's List,PRODUCER
2,Steven Spielberg,1,Schindler's List,DIRECTOR
2,Steven Spielberg,1,Schindler's List,PRODUCER
3,Gerald R. Molen,1,Schindler's List,PRODUCER
4,Caroline Goodall,1,Schindler's List,ACTOR
5,John Williams,1,Schindler's List,MUSICIAN
5,John Williams,2,Home Alone,MUSICIAN
6,John Heard,2,Home Alone,ACTOR
7,Chris Columbus,2,Home Alone,DIRECTOR
8,Joe Pesci,3,The Irishman,ACTOR
8,Joe Pesci,2,Home Alone,ACTOR
9,Al Pacino,3,The Irishman,ACTOR
9,Al Pacino,4,The Godfather,ACTOR
10,Richard S. Castellano,4,The Godfather,ACTOR
11,Francis Ford Coppola,4,The Godfather,WRITER
11,Francis Ford Coppola,4,The Godfather,DIRECTOR
12,Albert S. Ruddy,4,The Godfather,PRODUCER
13,James Caan,4,The Godfather,ACTOR
14,Marlon Brando,4,The Godfather,ACTOR
15,Gray Frederickson,4,The Godfather,PRODUCER
16,Mario Puzo,4,The Godfather,WRITER
17,Nino Rota,4,The Godfather,MUSICIAN
18,Charles Brandt,3,The Irishman,WRITER
19,Steven Zaillian,3,The Irishman,WRITER
19,Steven Zaillian,1,Schindler's List,WRITER
20,Robert De Niro,3,The Irishman,ACTOR
20,Robert De Niro,3,The Irishman,PRODUCER
21,Gerald Chamales,3,The Irishman,PRODUCER
22,Randall Emmett,3,The Irishman,PRODUCER
23,Martin Scorsese,3,The Irishman,DIRECTOR
24,Harvey Keitel,3,The Irishman,ACTOR
25,Gabriele Israilovici,3,The Irishman,PRODUCER
26,Robbie Robertson,3,The Irishman,MUSICIAN
27,Mark Levinson,2,Home Alone,PRODUCER
28,John Hughes,2,Home Alone,WRITER
28,John Hughes,2,Home Alone,PRODUCER
29,Macaulay Culkin,2,Home Alone,ACTOR
30,Scott M. Rosenfelt,2,Home Alone,PRODUCER
31,Daniel Stern,2,Home Alone,ACTOR
32,Tarquin Gotch,2,Home Alone,PRODUCER
33,Ralph Fiennes,1,Schindler's List,ACTOR
34,Ben Kingsley,1,Schindler's List,ACTOR
35,Thomas Keneally,1,Schindler's List,WRITER
36,Liam Neeson,5,Love Actually,ACTOR
36,Liam Neeson,1,Schindler's List,ACTOR
37,Duncan Kenworthy,5,Love Actually,PRODUCER
38,Colin Firth,5,Love Actually,ACTOR
39,Hugh Grant,5,Love Actually,ACTOR
40,Martine McCutcheon,5,Love Actually,ACTOR
41,Richard Curtis,5,Love Actually,DIRECTOR
41,Richard Curtis,5,Love Actually,WRITER
42,Craig Armstrong,5,Love Actually,MUSICIAN
43,Eric Fellner,5,Love Actually,PRODUCER
44,Tim Bevan,5,Love Actually,PRODUCER
45,Sara Murphy,6,Never Rarely Sometimes Always,PRODUCER
46,Theodore Pellerin,6,Never Rarely Sometimes Always,ACTOR
47,Eliazar Jimenez,6,Never Rarely Sometimes Always,ACTOR
48,Sidney Flanigan,6,Never Rarely Sometimes Always,ACTOR
49,Julia Holter,6,Never Rarely Sometimes Always,MUSICIAN
50,Adele Romanski,6,Never Rarely Sometimes Always,PRODUCER
51,Eliza Hittman,6,Never Rarely Sometimes Always,DIRECTOR
51,Eliza Hittman,6,Never Rarely Sometimes Always,WRITER
